,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11617,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19732915.0,19732915.0,False,,1,,,,2024-07-29T19:47:00.000Z,67444.97363328631,39046092004.31959,31.1267,0.14437186,-0.97942796,-0.89464816,10.71034215,-1.77904323,12.30775316,1330885931882.88,55.1392,1416344446299.01,,2024-07-29T19:47:00.000Z,,,,,,2024-07-30 02:49:06.025136
1,1027,Ethereum,ETH,ethereum,9177,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120228315.01960197,120228315.01960197,True,,2,,,,2024-07-29T19:46:00.000Z,3311.4642726784546,17093211461.516304,39.1065,-0.07912602,1.23776171,-5.1274129,-2.00594467,-12.19656317,12.02415306,398131769751.7424,16.5049,398131769751.74,,2024-07-29T19:46:00.000Z,,,,,,2024-07-30 02:49:06.025136
2,825,Tether USDt,USDT,tether,92897,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,114417852141.83315,117068083204.49164,True,,3,,,,2024-07-29T19:46:00.000Z,1.0000132768635617,61010414545.77587,29.139,-0.03608378,0.00861861,-0.04064677,0.16797669,-0.01271869,0.12233805,114419371252.04506,4.7434,117069637501.46,,2024-07-29T19:46:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-07-30 02:49:06.025136
3,5426,Solana,SOL,solana,709,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,464827146.8523454,581199459.8202066,True,,4,,,,2024-07-29T19:46:00.000Z,186.71282661603686,3430496727.3618507,33.8151,0.26836048,1.19224094,2.33481219,32.11281613,10.71090179,52.13019221,86789190476.66907,3.5979,108517393970.74,,2024-07-29T19:46:00.000Z,,,,,,2024-07-30 02:49:06.025136
4,1839,BNB,BNB,bnb,2200,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145867524.8423949,145867524.8423949,False,,5,,,,2024-07-29T19:46:00.000Z,578.804248523672,1820213288.658323,12.4123,0.14157012,-0.86440104,-2.74466337,1.45424274,-3.09971725,1.55590592,84428743100.41043,3.4987,84428743100.41,,2024-07-29T19:46:00.000Z,,,,,,2024-07-30 02:49:06.025136
5,52,XRP,XRP,xrp,1357,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55960868753.0,99987409084.0,False,,6,,,,2024-07-29T19:47:00.000Z,0.606035564413163,1141019765.6375144,6.6357,0.43623905,0.51090984,-2.14500168,27.85514185,15.90230772,22.1603876,33914276679.77529,1.4046,60603556441.32,,2024-07-29T19:47:00.000Z,,,,,,2024-07-30 02:49:06.025136
6,3408,USDC,USDC,usd-coin,21205,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,33873806080.487434,33873806080.487434,False,,7,,,,2024-07-29T19:46:00.000Z,1.0001172725112992,6460936584.339899,35.7755,-0.03151229,0.01290354,0.0007297,0.0229967,-0.02140365,0.02975181,33877778546.793755,1.4044,33877778546.79,,2024-07-29T19:46:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-07-30 02:49:06.025136
7,74,Dogecoin,DOGE,dogecoin,1028,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145318126383.70517,145318126383.70517,True,,8,,,,2024-07-29T19:47:00.000Z,0.1296387991097971,801273500.2338655,-22.4707,0.18556317,-0.2761529,-7.92973765,5.8736112,-19.80689362,-1.29068813,18838867393.269257,0.7803,18838867393.27,,2024-07-29T19:47:00.000Z,,,,,,2024-07-30 02:49:06.025136
8,11419,Toncoin,TON,toncoin,478,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2516623839.1811457,5109744546.1606655,True,,9,3414166606.0,22784466776.398033,,2024-07-29T19:46:00.000Z,6.673507595193799,195320119.09033766,29.9983,0.40313905,1.15458282,-4.77927046,-12.50166942,2.77942468,32.95373933,16794708305.021152,0.6962,34099919038.3,,2024-07-29T19:46:00.000Z,,,,,,2024-07-30 02:49:06.025136
9,2010,Cardano,ADA,cardano,1217,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35907757232.225,37089410845.922,False,,10,,,,2024-07-29T19:46:00.000Z,0.40956698112327283,317095307.5429338,-29.7239,-0.3137188,-0.2469557,-4.85685696,5.93166156,-9.32273653,-5.63230503,14706631728.50976,0.6097,18430514150.55,,2024-07-29T19:46:00.000Z,,,,,,2024-07-30 02:49:06.025136
